Title,Length,Number of Ratings
Fifty-Three Days on Starvation Island,19 hrs and 53 mins,46
The Yankee Way,9 hrs and 49 mins,46
Headwaters,7 hrs and 8 mins,46
Frida,19 hrs and 3 mins,45
The 99 Boyfriends of Micah Summers,10 hrs and 24 mins,44
The Couple in the Photo,10 hrs and 45 mins,44
The Stress Prescription,7 hrs and 3 mins,44
Crow Talk,10 hrs and 56 mins,44
Patton's Payback,9 hrs and 7 mins,44
More than I Imagined,6 hrs and 38 mins,43
The Love Plot,9 hrs and 41 mins,43
A Crown That Lasts,8 hrs and 43 mins,41
On Fire Island,8 hrs and 29 mins,41
A Sweet Sting of Salt,10 hrs and 24 mins,40
The Comeback Summer,11 hrs and 39 mins,40
The Language of Seabirds,6 hrs and 53 mins,40
Just My Type,9 hrs and 30 mins,39
The Good Virus,10 hrs and 20 mins,39
Sea Change,8 hrs and 14 mins,39
To Ride the Wind,9 hrs and 20 mins,39
"Saturday Night, Sunday Morning",6 hrs and 53 mins,38
Conversations on Letting Go,5 hrs and 14 mins,38
The Fraud Squad,11 hrs and 33 mins,37
A Private Spy,16 hrs and 4 mins,37
The Cat's Meow,11 hrs and 21 mins,37
Norse Mythology Unleashed,3 hrs and 22 mins,37
Color,15 hrs and 58 mins,37
Alexander at the End of the World,11 hrs and 15 mins,37
Afterlove,10 hrs and 31 mins,37
It's a Gas,6 hrs and 50 mins,36
Angels Before Man,15 hrs and 9 mins,36
The Lost Relic,9 hrs and 54 mins,36
Santa Fe: A Local's Enchanting Journey Through the City Different,3 hrs and 35 mins,36
Wordhunter,7 hrs and 50 mins,36
"Best Possible Place, Worst Possible Time",8 hrs and 45 mins,36
Charm City Rocks,9 hrs and 5 mins,35
The Distance Between Us,10 hrs and 6 mins,35
Ruby Spencer's Whisky Year,8 hrs and 52 mins,34
Daffodil Hill,8 hrs and 39 mins,33
The Stone Witch of Florence,11 hrs and 46 mins,33
Chamber Divers,10 hrs and 44 mins,33
The Woman with the Cure,12 hrs and 1 min,33
A Grandmother Begins the Story,8 hrs and 51 mins,33
This Will Be Fun,12 hrs and 51 mins,32
Just as You Are,8 hrs and 20 mins,31
The Swans of Harlem,10 hrs and 12 mins,30
"Thank You, Mr. Nixon",8 hrs and 42 mins,30
Only Big Bumbum Matters Tomorrow,6 hrs and 42 mins,30
Something in the Woods Loves You,11 hrs and 31 mins,30
A Year of Ravens,18 hrs and 28 mins,30
A Song of War,18 hrs and 3 mins,29
Forever in Your Embrace,21 hrs and 44 mins,29
Time's Undoing,10 hrs and 48 mins,28
The Soldier's Truth,11 hrs and 39 mins,28
Inspiring Stories for Kids,3 hrs and 33 mins,28
Brooklyn Crime Novel,13 hrs,28
Housemates,9 hrs and 14 mins,27
Lethal Tides,11 hrs and 14 mins,27
The Man in Black,7 hrs and 52 mins,27
Play the Fool,9 hrs and 34 mins,27
Selling Sunshine,5 hrs and 27 mins,26
Truly Madly Magically,12 hrs and 20 mins,26
Mount Chicago,20 hrs and 16 mins,25
Dead and Gondola,9 hrs and 54 mins,25
Seckry Sevenstars and the City of the Falling Sky,10 hrs and 56 mins,25
Windfall,7 hrs and 38 mins,25
We the Poisoned,10 hrs and 19 mins,25
Sounds Wild and Broken,15 hrs and 34 mins,24
The Digital Odyssey,5 hrs and 38 mins,24
Empireland,10 hrs and 53 mins,24
The Wartime Book Club,16 hrs and 31 mins,24
Rivals,24 hrs and 47 mins,23
The Ides of March,8 hrs and 44 mins,23
The Spirit of Harriet Tubman,6 hrs and 26 mins,23
A Haunting in the Arctic,9 hrs and 11 mins,23
Dragon's Kiss,10 hrs and 9 mins,23
Storybook Ending,9 hrs and 3 mins,22
The Gulf,12 hrs and 23 mins,22
You Know What You Did,13 hrs and 15 mins,21
The American Revolution,5 hrs and 17 mins,21
The Teacher Wars,11 hrs and 35 mins,21
A Gentleman and a Thief,10 hrs and 46 mins,21
